CN Code;Description;Conventional rate of duty (%);Supplementary unit;Conventional Rate of duty (%);Note;CAS RN;Name;Chapter;Section;Section Name;Chapter Name
1101 00 15;– – Of common wheat and spelt;172 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1101 00 90;– Meslin flour;172 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1102;Cereal flours other than of wheat or meslin:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1102 20;– Maize (corn) flour:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1102 20 10;– – Of a fat content not exceeding 1,5 % by weight;173 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1102 20 90;– – Other;98 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1102 90;– Other:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1102 90 10;– – Barley flour;171 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1102 90 30;– – Oat flour;164 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1102 90 50;– – Rice flour;138 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1102 90 70;– – Rye flour;168 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1102 90 90;– – Other;98 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
